Update: [2013/12/05 12:01:38 (5.793938563)]
625] c0      1 Bluetooth: HCI device and connection manager initialized
<6>[    0.283625] c0      1 Bluetooth: HCI socket layer initialized
<6>[    0.283625] c0      1 Bluetooth: L2CAP socket layer initialized
<6>[    0.283778] c0      1 Bluetooth: SCO socket layer initialized
<6>[    0.285243] c0      1 Switching to clocksource gp_timer
<7>[    0.297573] c1      1 [TTY_IO] create tty_wq for smd0
<6>[    0.298245] c1      1 NET: Registered protocol family 2
<6>[    0.298580] c1      1 IP route cache hash table entries: 16384 (order: 4, 65536 bytes)
<7>[    0.298855] c1      1 [NET][IPV4][RULE] fib4_rules_init 
<7>[    0.298886] c1      1 [NET][CORE][RULE] fib_rules_register 
<7>[    0.298916] c1      1 [NET][CORE][RULE] __fib_rules_register ,owner=(null)
<7>[    0.298916] c1      1 [NET][IPV4][RULE] fib_default_rules_init 
<7>[    0.298947] c1      1 [NET][CORE][RULE] fib_default_rule_add ,owner=(null)
<7>[    0.298947] c1      1 [NET][CORE][RULE] fib_default_rule_add ,owner=(null)
<7>[    0.298977] c1      1 [NET][CORE][RULE] fib_default_rule_add ,owner=(null)
<6>[    0.299435] c1      1 TCP established hash table entries: 65536 (order: 7, 524288 bytes)
<6>[    0.300442] c1      1 TCP bind hash table entries: 65536 (order: 7, 524288 bytes)
<3>[    0.301602] c1      1 [NET]tcp_init_mem:limit=14089,128UL=128
<6>[    0.301602] c1      1 [NET]tcp_init_mem:limit=112712,tcp_mem[0]=84534,tcp_mem[1]=112712,tcp_mem[2]=169068
<6>[    0.301632] c1      1 TCP: Hash tables configured (established 65536 bind 65536)
<6>[    0.301663] c1      1 TCP: reno registered
<6>[    0.301663] c1      1 UDP hash table entries: 256 (order: 1, 8192 bytes)
<6>[    0.301693] c1      1 UDP-Lite hash table entries: 256 (order: 1, 8192 bytes)
<6>[    0.302151] c1      1 NET: Registered protocol family 1
<6>[    0.302456] c1      1 Trying to unpack rootfs image as initramfs...
<6>[    0.349732] c1      1 Freeing initrd memory: 528K
<6>[    0.353853] c1      1 Detected 9 counters on the L2CC PMU.
<6>[    0.354341] c1      1 simlock_init: register module ok
<6>[    0.356935] c1      1 pil_qdsp6v4 pil_qdsp6v4.0: using secure boot
<6>[    0.357973] c1      1 pil_riva pil_riva: using non-secure boot
<6>[    0.359804] c1      1 pil_gss pil_gss: using secure boot
<3>[    0.361330] c0      4 smd_channel_probe_worker: allocation table not initialized
